"ZIP Code","Week Number","Week Start","Week End","Cases - Weekly","Cases - Cumulative","Case Rate - Weekly","Case Rate - Cumulative","Deaths - Weekly","Deaths - Cumulative","Death Rate - Weekly","Death Rate - Cumulative","Population.x","Total Doses - Daily","Total Doses - Cumulative","Vaccine Series Completed - Daily","Vaccine Series Completed - Cumulative","Vaccine Series Completed  - Percent Population","Population.y"
"60661",6,"02/06/2022",2022-02-12,13,2106,131,21217,0,2,0,20.1,9926,5,22819,1,8932,0.863,10354
"60604",6,"02/06/2022",2022-02-12,1,330,128,42199.5,0,0,0,0,782,3,2257,0,812,0.987,823
"60605",6,"02/06/2022",2022-02-12,31,4789,113,17402.5,1,15,3.6,54.5,27519,29,60354,7,22935,0.789,29060
"60608",6,"02/06/2022",2022-02-12,58,14997,73,18934.4,0,193,0,243.7,79205,276,130258,99,51943,0.649,80059
"60609",6,"02/06/2022",2022-02-12,65,12953,106,21063.5,6,216,9.8,351.2,61495,177,97076,71,39664,0.651,60939
"60612",6,"02/06/2022",2022-02-12,35,7446,102,21701.5,0,93,0,271.1,34311,47,51040,23,20648,0.612,33735
"60616",6,"02/06/2022",2022-02-12,42,8060,77,14798.8,2,132,3.7,242.4,54464,103,99654,41,39066,0.721,54197
"60666",7,"02/13/2022",2022-02-19,0,8,0,0,0,0,0,0,0,0,134,0,76,0,0
"60604",7,"02/13/2022",2022-02-19,1,331,128,42327.4,0,0,0,0,782,2,2277,0,816,0.991,823
"60609",7,"02/13/2022",2022-02-19,31,12984,50,21113.9,1,217,1.6,352.9,61495,124,98046,50,40070,0.658,60939
"60613",7,"02/13/2022",2022-02-19,35,9137,70,18232.8,0,62,0,123.7,50113,53,104433,12,40244,0.793,50761
"60614",7,"02/13/2022",2022-02-19,52,13117,73,18394.9,0,113,0,158.5,71308,48,131794,11,50600,0.703,71954
"60619",7,"02/13/2022",2022-02-19,17,10583,28,17276.1,2,215,3.3,351,61258,87,82955,28,33840,0.553,61207
"60623",7,"02/13/2022",2022-02-19,33,19033,38,22136.8,0,317,0,368.7,85979,273,132619,128,54456,0.67,81283
"60624",7,"02/13/2022",2022-02-19,16,7026,44,19431.4,1,114,2.8,315.3,36158,82,45955,37,19276,0.552,34892
"60630",7,"02/13/2022",2022-02-19,42,11720,73,20438.1,3,177,5.2,308.7,57344,84,99931,30,40392,0.716,56433
"60643",7,"02/13/2022",2022-02-19,25,9497,50,19043.5,0,200,0,401,49870,58,80244,22,32002,0.655,48887
"60649",7,"02/13/2022",2022-02-19,20,7698,44,16726.1,0,217,0,471.5,46024,56,56103,16,22934,0.492,46633
"60660",7,"02/13/2022",2022-02-19,45,6454,104,14925.3,0,96,0,222,43242,47,82720,7,31995,0.719,44498
"60661",7,"02/13/2022",2022-02-19,13,2119,131,21348,0,2,0,20.1,9926,11,22879,4,8945,0.864,10354
