"Zip Code","Date","Total Doses - Daily","Total Doses - Cumulative","Vaccine Series Completed - Daily","Vaccine Series Completed - Cumulative","Vaccine Series Completed  - Percent Population","Population"
"60604","11/07/2021",5,1731,2,742,0.902,823
"60604","11/08/2021",3,1734,1,743,0.903,823
"60604","11/09/2021",6,1740,1,744,0.904,823
"60604","11/10/2021",3,1743,0,744,0.904,823
"60604","11/11/2021",11,1754,3,747,0.908,823
"60604","11/12/2021",4,1758,0,747,0.908,823
"60604","11/13/2021",2,1760,0,747,0.908,823
"60604","11/14/2021",1,1761,0,747,0.908,823
"60604","11/16/2021",4,1771,0,749,0.91,823
"60604","11/17/2021",11,1782,0,749,0.91,823
"60604","11/18/2021",7,1789,0,749,0.91,823
"60604","11/19/2021",9,1798,0,749,0.91,823
"60604","11/20/2021",4,1802,0,749,0.91,823
"60604","11/21/2021",1,1803,0,749,0.91,823
"60604","11/22/2021",6,1809,0,749,0.91,823
"60604","11/23/2021",6,1815,0,749,0.91,823
"60604","11/24/2021",10,1825,0,749,0.91,823
"60604","11/25/2021",0,1825,0,749,0.91,823
"60604","11/26/2021",7,1832,0,749,0.91,823
"60604","11/27/2021",3,1835,2,751,0.913,823
"60604","11/28/2021",2,1837,1,752,0.914,823
"60604","11/29/2021",6,1843,0,752,0.914,823
"60604","11/30/2021",4,1847,0,752,0.914,823
"60604","12/01/2021",3,1850,0,752,0.914,823
"60604","12/02/2021",7,1857,0,752,0.914,823
"60604","12/03/2021",10,1867,3,755,0.917,823
"60604","12/04/2021",4,1871,2,757,0.92,823
"60604","12/05/2021",2,1873,0,757,0.92,823
"60604","12/06/2021",11,1884,1,758,0.921,823
"60604","12/07/2021",6,1890,0,758,0.921,823
"60604","12/08/2021",14,1904,4,762,0.926,823
"60604","12/09/2021",5,1909,1,763,0.927,823
"60604","12/10/2021",13,1922,0,763,0.927,823
"60604","12/11/2021",3,1925,2,765,0.93,823
"60604","12/12/2021",2,1927,1,766,0.931,823
"60604","12/13/2021",12,1939,2,768,0.933,823
"60604","12/14/2021",13,1952,2,770,0.936,823
"60604","12/15/2021",4,1956,1,771,0.937,823
"60604","12/16/2021",10,1966,1,772,0.938,823
"60604","12/17/2021",13,1979,1,773,0.939,823
"60604","12/18/2021",4,1983,0,773,0.939,823
"60604","12/19/2021",2,1985,2,775,0.942,823
"60604","12/20/2021",5,1990,1,776,0.943,823
"60604","12/21/2021",11,2001,0,776,0.943,823
"60604","12/22/2021",11,2012,2,778,0.945,823
"60604","12/23/2021",12,2024,1,779,0.947,823
"60604","12/24/2021",4,2028,1,780,0.948,823
"60604","12/25/2021",0,2028,0,780,0.948,823
"60604","12/26/2021",1,2029,0,780,0.948,823
"60604","12/27/2021",6,2035,0,780,0.948,823
"60604","12/28/2021",10,2045,1,781,0.949,823
"60604","12/29/2021",8,2053,3,784,0.953,823
"60604","12/30/2021",5,2058,0,784,0.953,823
"60604","12/31/2021",0,2058,0,784,0.953,823
"60604","01/01/2022",0,2058,0,784,0.953,823
"60604","01/02/2022",2,2060,0,784,0.953,823
"60604","01/03/2022",7,2067,1,785,0.954,823
"60604","01/04/2022",6,2073,1,786,0.955,823
"60604","01/05/2022",7,2080,2,788,0.957,823
"60604","01/06/2022",9,2089,1,789,0.959,823
"60604","01/07/2022",5,2094,2,791,0.961,823
"60604","01/08/2022",8,2102,2,793,0.964,823
"60604","01/09/2022",0,2102,0,793,0.964,823
"60604","01/11/2022",5,2110,1,794,0.965,823
"60604","01/12/2022",3,2113,0,794,0.965,823
"60604","01/13/2022",11,2124,2,796,0.967,823
"60604","01/14/2022",6,2130,0,796,0.967,823
"60604","01/15/2022",2,2132,1,797,0.968,823
"60604","01/16/2022",3,2135,2,799,0.971,823
"60604","01/17/2022",8,2143,0,799,0.971,823
"60604","01/18/2022",3,2146,1,800,0.972,823
"60604","01/19/2022",3,2149,1,801,0.973,823
"60604","01/20/2022",9,2158,0,801,0.973,823
"60601","03/17/2021",108,5796,34,2286,0.152,15083
"60603","11/12/2021",11,3309,1,1333,1.27,1052
"60603","11/13/2021",6,3315,0,1333,1.27,1052
"60603","11/14/2021",0,3315,0,1333,1.27,1052
"60601","10/28/2021",95,25110,15,11352,0.753,15083
"60603","11/15/2021",16,3331,2,1335,1.27,1052
"60602","01/03/2021",1,47,0,0,0,1145
"60602","01/11/2021",2,93,2,23,0.02,1145
"60602","01/20/2021",7,149,2,45,0.039,1145
"60602","03/09/2021",9,722,6,301,0.263,1145
"60601","11/01/2021",100,25403,21,11409,0.756,15083
"60601","01/04/2022",78,31710,10,12177,0.807,15083
"60604","01/21/2022",6,2164,0,801,0.973,823
"60604","01/22/2022",4,2168,1,802,0.974,823
"60604","01/23/2022",1,2169,0,802,0.974,823
"60604","01/24/2022",6,2175,2,804,0.977,823
"60604","01/25/2022",5,2180,1,805,0.978,823
"60604","01/26/2022",2,2182,0,805,0.978,823
"60604","01/27/2022",6,2188,1,806,0.979,823
"60604","01/28/2022",2,2190,0,806,0.979,823
"60604","01/29/2022",3,2193,0,806,0.979,823
"60604","01/30/2022",2,2195,0,806,0.979,823
"60604","01/31/2022",5,2200,1,807,0.981,823
"60604","02/01/2022",3,2203,0,807,0.981,823
"60604","02/02/2022",2,2205,0,807,0.981,823
"60604","02/03/2022",3,2208,0,807,0.981,823
"60604","02/08/2022",8,2242,1,811,0.985,823
"60603","11/16/2021",19,3350,1,1336,1.27,1052
"60604","02/09/2022",4,2246,0,811,0.985,823
"60604","02/14/2022",5,2263,2,814,0.989,823
"60604","02/21/2022",2,2280,0,816,0.991,823
"60604","02/22/2022",1,2281,0,816,0.991,823
"60604","02/23/2022",0,2281,0,816,0.991,823
"60604","02/25/2022",1,2283,0,817,0.993,823
"60604","02/26/2022",0,2283,0,817,0.993,823
"60604","03/07/2022",3,2295,0,819,0.995,823
"60604","03/13/2022",8,2305,0,820,0.996,823
"60605","06/10/2021",99,37295,77,18483,0.636,29060
"60605","06/11/2021",131,37426,100,18583,0.639,29060
"60605","06/12/2021",66,37492,50,18633,0.641,29060
"60605","06/13/2021",40,37532,32,18665,0.642,29060
"60605","06/14/2021",79,37611,53,18718,0.644,29060
"60605","06/15/2021",56,37667,36,18754,0.645,29060
"60605","06/16/2021",54,37721,32,18786,0.646,29060
"60605","06/17/2021",36,37757,30,18816,0.647,29060
"60605","06/18/2021",69,37826,49,18865,0.649,29060
"60605","06/19/2021",43,37869,20,18885,0.65,29060
"60605","06/20/2021",36,37905,16,18901,0.65,29060
"60605","06/21/2021",42,37947,23,18924,0.651,29060
"60605","06/22/2021",46,37993,24,18948,0.652,29060
"60605","06/23/2021",57,38050,41,18989,0.653,29060
"60605","07/19/2021",40,38949,18,19464,0.67,29060
"60605","07/20/2021",33,38982,22,19486,0.671,29060
"60605","07/21/2021",37,39019,15,19501,0.671,29060
"60605","07/22/2021",27,39046,16,19517,0.672,29060
"60605","07/23/2021",38,39084,18,19535,0.672,29060
"60605","07/24/2021",28,39112,14,19549,0.673,29060
"60605","07/25/2021",13,39125,3,19552,0.673,29060
"60605","07/26/2021",43,39168,26,19578,0.674,29060
"60605","07/27/2021",35,39203,17,19595,0.674,29060
"60605","07/28/2021",32,39235,16,19611,0.675,29060
"60605","07/29/2021",24,39259,10,19621,0.675,29060
"60605","07/30/2021",38,39297,22,19643,0.676,29060
"60605","07/31/2021",23,39320,12,19655,0.676,29060
"60605","08/01/2021",22,39342,14,19669,0.677,29060
"60605","08/02/2021",41,39383,23,19692,0.678,29060
"60605","08/03/2021",28,39411,8,19700,0.678,29060
"60605","08/04/2021",31,39442,16,19716,0.678,29060
"60605","08/05/2021",40,39482,17,19733,0.679,29060
"60605","08/06/2021",32,39514,14,19747,0.68,29060
"60605","08/07/2021",26,39540,12,19759,0.68,29060
"60605","08/08/2021",18,39558,9,19768,0.68,29060
"60605","08/09/2021",48,39606,20,19788,0.681,29060
"60605","08/10/2021",28,39634,12,19800,0.681,29060
"60605","08/11/2021",26,39660,13,19813,0.682,29060
"60605","08/12/2021",36,39696,15,19828,0.682,29060
"60605","08/13/2021",38,39734,18,19846,0.683,29060
"60605","08/14/2021",26,39760,5,19851,0.683,29060
"60605","08/15/2021",22,39782,10,19861,0.683,29060
"60605","08/16/2021",29,39811,12,19873,0.684,29060
"60605","08/17/2021",58,39869,27,19900,0.685,29060
"60605","08/18/2021",43,39912,18,19918,0.685,29060
"60605","08/19/2021",53,39965,16,19934,0.686,29060
"60605","08/20/2021",53,40018,16,19950,0.687,29060
"60605","08/21/2021",22,40040,8,19958,0.687,29060
"60605","08/22/2021",25,40065,10,19968,0.687,29060
"60605","08/23/2021",67,40132,27,19995,0.688,29060
"60605","08/25/2021",47,40227,23,20042,0.69,29060
"60605","08/26/2021",51,40278,15,20057,0.69,29060
"60605","08/27/2021",64,40342,22,20079,0.691,29060
"60605","08/28/2021",41,40383,17,20096,0.692,29060
"60605","08/29/2021",26,40409,7,20103,0.692,29060
"60605","08/30/2021",51,40460,17,20120,0.692,29060
"60605","08/31/2021",44,40504,18,20138,0.693,29060
"60605","09/01/2021",36,40540,18,20156,0.694,29060
"60605","09/02/2021",38,40578,15,20171,0.694,29060
"60605","09/03/2021",51,40629,16,20187,0.695,29060
"60605","09/04/2021",24,40653,10,20197,0.695,29060
"60605","09/05/2021",19,40672,7,20204,0.695,29060
"60605","09/06/2021",4,40676,2,20206,0.695,29060
"60605","09/07/2021",22,40698,8,20214,0.696,29060
"60605","09/08/2021",28,40726,12,20226,0.696,29060
"60605","09/09/2021",45,40771,13,20239,0.696,29060
"60605","09/10/2021",35,40806,21,20260,0.697,29060
"60605","09/11/2021",32,40838,10,20270,0.698,29060
